index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,10.40.170.2,*,*,*,unknown,*,*,[8.74573066576194]
1,10.40.182.1,*,*,*,unknown,*,*,[9.347826086956522]
2,10.40.182.3,*,*,*,unknown,*,*,[8.696263565463042]
3,10.40.85.1,*,*,*,unknown,*,*,[9.493857663422878]
4,10.40.85.10,*,*,*,unknown,*,*,[9.943960626489652]
5,10.40.85.30,*,*,*,unknown,*,*,[10]
6,175.45.176.1,*,*,*,unknown,*,*,[8.69448861983163]
7,175.45.176.0,*,*,*,?,*,*,[10]
8,175.45.176.1,*,*,*,?,*,*,[10]
