index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,10.40.170.2,0,0,*,arp,INT,[8.74573066576194]
1,*,10.40.182.255,138,138,*,udp,INT,[0]
2,*,10.40.182.3,0,0,*,arp,CON,[8.81087844357011]
3,*,10.40.182.3,0,0,*,arp,INT,[7.3401668087644865]
4,*,10.40.85.1,0,0,*,arp,CON,[10]
5,*,10.40.85.30,0,0,*,arp,CON,[9.963282104370133]
6,*,192.168.241.50,2048,52233,*,icmp,ECO,[10]
7,*,224.0.0.5,0,0,*,ospf,REQ,[10]
8,*,?,?,?,*,?,?,[6.823242444809897]
